Date and Time:                Thu Apr 18 12:10:27.398 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000
550.97998	296
551.23749	292
551.49493	282
551.75244	317
552.00995	303
552.2674	291
552.5249	294
552.78235	290
553.03986	307
553.2973	298
553.55481	299
553.81226	291
554.0697	315
554.32715	312
554.58459	300
554.84204	311
555.09949	314
555.35693	292
555.61438	309
555.87177	299
556.12921	314
556.38666	290
556.64404	299
556.90149	311
557.15887	298
557.41626	300
557.67371	289
557.93109	295
558.18848	310
558.44586	302
558.70325	302
558.96063	323
559.21802	326
559.4754	288
559.73273	313
559.99011	291
560.2475	319
560.50482	287
560.76221	303
561.01953	287
561.27686	307
561.53424	306
561.79156	308
562.04889	311
562.30621	306
562.56354	290
562.82086	309
563.07819	307
563.33551	323
563.59277	307
563.8501	304
564.10742	276
564.36469	297
564.62201	288
564.87927	293
565.13654	295
565.39386	312
565.65112	293
565.90839	309
566.16565	282
566.42291	300
566.68018	307
566.93744	295
567.19464	292
567.4519	305
567.70917	304
567.96637	330
568.22363	312
568.48083	311
568.7381	284
568.9953	292
569.2525	301
569.5097	288
569.76691	302
570.02411	295
570.28131	283
570.53851	311
570.79572	299
571.05292	308
571.31006	313
571.56726	294
571.8244	303
572.0816	286
572.33875	298
572.59589	310
572.85309	311
573.11023	286
573.36737	288
573.62451	287
573.88165	310
574.13879	297
574.39587	305
574.65302	300
574.91016	321
575.16724	310
575.42438	292
575.68146	285
575.9386	283
576.19568	302
576.45276	286
576.70984	315
576.96692	305
577.224	294
577.48108	299
577.73816	309
577.99524	303
578.25232	304
578.50934	309
578.76642	298
579.02344	306
579.28052	295
579.53754	299
579.79462	302
580.05164	304
580.30865	296
580.56567	308
580.82269	286
581.07971	276
581.33673	320
581.59369	286
581.85071	286
582.10773	302
582.36469	301
582.6217	294
582.87866	302
583.13562	299
583.39264	304
583.6496	302
583.90656	302
584.16351	293
584.42047	296
584.67743	296
584.93439	285
585.19128	300
585.44824	288
585.70514	302
585.9621	326
586.21899	303
586.47595	309
586.73285	294
586.98975	309
587.24664	300
587.50354	306
587.76044	281
588.01733	283
588.27423	319
588.53113	303
588.78796	297
589.04486	296
589.3017	301
589.55859	309
589.81543	282
590.07233	301
590.32916	278
590.586	324
590.84283	328
591.09967	310
591.35651	286
591.61334	322
591.87012	324
592.12695	300
592.38373	296
592.64056	305
592.89734	312
593.15417	277
593.41095	311
593.66772	297
593.9245	314
594.18127	295
594.43805	280
594.69482	299
594.9516	331
595.20837	301
595.46509	312
595.72186	298
595.97858	296
596.23535	310
596.49207	300
596.74878	302
597.00555	305
597.26227	290
597.51898	311
597.7757	310
598.03235	296
598.28906	295
598.54578	285
598.80243	311
599.05914	289
599.3158	313
599.57251	280
599.82916	313
600.08582	287
600.34247	313
600.59918	297
600.85583	311
601.11243	289
601.36908	305
601.62573	313
601.88239	296
602.13898	299
602.39563	301
602.65222	296
602.90881	302
603.16547	313
603.42206	290
603.67865	283
603.93524	302
604.19183	286
604.44843	299
604.70496	305
604.96155	302
605.21814	309
605.47467	296
605.73126	303
605.98779	282
606.24432	285
606.50085	293
606.75739	319
607.01392	317
607.27045	278
607.52698	306
607.78351	310
608.04004	293
608.29651	301
608.55304	296
608.80951	304
