Date and Time:                Thu Apr 18 12:08:27.406 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	310
448.24188	314
448.50052	303
448.75912	293
449.01776	303
449.2764	288
449.535	311
449.79364	314
450.05225	312
450.31085	295
450.56949	295
450.82809	296
451.0867	292
451.34531	291
451.60391	290
451.86252	281
452.12112	301
452.37973	302
452.63834	299
452.89691	292
453.15552	305
453.41412	304
453.6727	288
453.9313	291
454.18988	310
454.44846	297
454.70706	308
454.96564	297
455.22421	301
455.48279	314
455.74136	305
455.99994	294
456.25851	294
456.51709	296
456.77567	287
457.03424	309
457.29279	322
457.55136	307
457.80991	289
458.06848	296
458.32703	300
458.5856	289
458.84415	294
459.10269	311
459.36124	291
459.61978	288
459.87833	304
460.13687	296
460.39542	288
460.65396	304
460.91251	284
461.17102	292
461.42957	291
461.68811	321
461.94662	297
462.20514	300
462.46368	305
462.7222	316
462.98071	304
463.23923	301
463.49777	301
463.75629	298
464.01477	302
464.27328	307
464.5318	277
464.79031	298
465.0488	310
465.30731	301
465.56583	289
465.82431	295
466.08279	313
466.34131	304
466.59979	301
466.85828	332
467.11676	308
467.37524	291
467.63373	300
467.89221	284
468.1507	308
468.40918	290
468.66763	299
468.92612	297
469.18457	315
469.44305	291
469.70151	291
469.95999	290
470.21844	289
470.4769	306
470.73535	321
470.9938	309
471.25226	286
471.51071	307
471.76917	288
472.02759	297
472.28604	309
472.54449	293
472.80292	313
473.06137	286
473.31979	297
473.57822	312
473.83664	281
474.09506	299
474.35352	296
474.61191	290
474.87033	297
475.12875	294
475.38718	314
475.6456	278
475.90399	297
476.16241	288
476.42081	280
476.6792	295
476.93762	279
477.19601	297
477.45441	298
477.7128	317
477.97119	312
478.22958	286
478.48798	297
478.74637	307
479.00473	297
479.26312	311
479.52148	302
479.77988	323
480.03824	300
480.2966	302
480.55496	301
480.81335	305
481.07172	296
481.33005	297
481.58841	295
481.84677	307
482.10513	301
482.36346	305
482.62183	314
482.88016	307
483.13852	304
483.39685	292
483.65518	284
483.91351	293
484.17184	300
484.43018	305
484.68851	289
484.94684	308
485.20517	315
485.46347	285
485.7218	282
485.9801	298
486.23843	291
486.49673	290
486.75504	299
487.01334	304
487.27164	292
487.52994	311
487.78824	301
488.04654	283
488.30484	291
488.56311	298
488.82141	300
489.07968	306
489.33798	291
489.59625	284
489.85452	292
490.11279	310
490.37106	282
490.62933	297
490.8876	305
491.14587	281
491.40411	303
491.66238	301
491.92065	291
492.17889	312
492.43713	301
492.69537	306
492.95364	293
493.21188	320
493.47012	292
493.72833	294
493.98657	298
494.24481	313
494.50305	296
494.76126	302
495.0195	321
495.27771	303
495.53592	314
495.79413	299
496.05234	303
496.31055	292
496.56876	274
496.82697	302
497.08517	299
497.34335	298
497.60156	321
497.85974	311
498.11795	310
498.37613	299
498.63431	309
498.89249	307
499.15067	291
499.40884	283
499.66702	274
499.92517	289
500.18335	279
500.44153	308
500.69968	292
500.95782	303
501.216	294
501.47415	292
501.7323	315
501.99045	301
502.24857	289
502.50671	298
502.76486	287
503.02298	304
503.28113	297
503.53925	307
503.79739	303
504.05551	295
504.31363	299
504.57175	288
504.82986	320
505.08798	288
505.34607	308
505.60419	321
505.86227	292
506.12039	311
506.37848	294
506.63657	282
506.89465	295
507.15277	320
507.41083	311
507.66891	299
507.927	291
508.18509	307
508.44315	299
508.70123	301
508.95929	275
509.21735	320
509.4754	312
509.73346	306
509.99152	292
510.24957	315
510.50763	297
510.76569	298
511.02371	305
511.28174	313
511.53979	296
511.79782	305
512.05585	295
512.3139	299
512.5719	305
