Date and Time:                Tue Apr 16 15:45:26.231 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	319
448.24188	334
448.50052	292
448.75912	302
449.01776	298
449.2764	296
449.535	289
449.79364	296
450.05225	286
450.31085	299
450.56949	307
450.82809	290
451.0867	295
451.34531	311
451.60391	286
451.86252	293
452.12112	293
452.37973	294
452.63834	297
452.89691	295
453.15552	282
453.41412	287
453.6727	291
453.9313	316
454.18988	308
454.44846	313
454.70706	298
454.96564	312
455.22421	314
455.48279	284
455.74136	293
455.99994	305
456.25851	297
456.51709	295
456.77567	287
457.03424	303
457.29279	323
457.55136	299
457.80991	297
458.06848	302
458.32703	290
458.5856	320
458.84415	306
459.10269	310
459.36124	301
459.61978	297
459.87833	302
460.13687	291
460.39542	304
460.65396	288
460.91251	282
461.17102	290
461.42957	284
461.68811	290
461.94662	279
462.20514	294
462.46368	303
462.7222	292
462.98071	291
463.23923	328
463.49777	302
463.75629	322
464.01477	315
464.27328	318
464.5318	312
464.79031	305
465.0488	282
465.30731	296
465.56583	284
465.82431	280
466.08279	275
466.34131	308
466.59979	296
466.85828	296
467.11676	277
467.37524	302
467.63373	293
467.89221	301
468.1507	288
468.40918	281
468.66763	283
468.92612	302
469.18457	319
469.44305	325
469.70151	294
469.95999	306
470.21844	292
470.4769	287
470.73535	298
470.9938	296
471.25226	301
471.51071	284
471.76917	306
472.02759	308
472.28604	308
472.54449	283
472.80292	311
473.06137	290
473.31979	288
473.57822	310
473.83664	308
474.09506	298
474.35352	298
474.61191	289
474.87033	303
475.12875	289
475.38718	296
475.6456	298
475.90399	283
476.16241	292
476.42081	293
476.6792	305
476.93762	297
477.19601	293
477.45441	282
477.7128	294
477.97119	304
478.22958	302
478.48798	312
478.74637	295
479.00473	324
479.26312	284
479.52148	300
479.77988	312
480.03824	316
480.2966	302
480.55496	325
480.81335	299
481.07172	301
481.33005	290
481.58841	296
481.84677	297
482.10513	304
482.36346	281
482.62183	310
482.88016	307
483.13852	293
483.39685	300
483.65518	286
483.91351	312
484.17184	318
484.43018	283
484.68851	315
484.94684	316
485.20517	308
485.46347	298
485.7218	297
485.9801	304
486.23843	310
486.49673	301
486.75504	307
487.01334	311
487.27164	308
487.52994	309
487.78824	299
488.04654	283
488.30484	314
488.56311	311
488.82141	308
489.07968	289
489.33798	319
489.59625	289
489.85452	266
490.11279	310
490.37106	295
490.62933	313
490.8876	288
491.14587	300
491.40411	288
491.66238	306
491.92065	295
492.17889	304
492.43713	303
492.69537	320
492.95364	301
493.21188	304
493.47012	296
493.72833	311
493.98657	293
494.24481	281
494.50305	282
494.76126	284
495.0195	284
495.27771	294
495.53592	314
495.79413	318
496.05234	300
496.31055	306
496.56876	320
496.82697	318
497.08517	288
497.34335	296
497.60156	304
497.85974	307
498.11795	287
498.37613	293
498.63431	284
498.89249	296
499.15067	307
499.40884	313
499.66702	311
499.92517	287
500.18335	298
500.44153	301
500.69968	322
500.95782	310
501.216	290
501.47415	313
501.7323	298
501.99045	306
502.24857	299
502.50671	305
502.76486	288
503.02298	299
503.28113	295
503.53925	307
503.79739	294
504.05551	294
504.31363	312
504.57175	301
504.82986	301
505.08798	309
505.34607	297
505.60419	311
505.86227	303
506.12039	301
506.37848	289
506.63657	300
506.89465	312
507.15277	323
507.41083	300
507.66891	319
507.927	331
508.18509	304
508.44315	303
508.70123	288
508.95929	296
509.21735	281
509.4754	304
509.73346	290
509.99152	293
510.24957	286
510.50763	279
510.76569	317
511.02371	305
511.28174	300
511.53979	285
511.79782	265
512.05585	297
512.3139	295
512.5719	306
