Date and Time:                Wed Apr 17 12:22:25.145 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	8770
448.24188	8712
448.50052	9007
448.75912	9091
449.01776	9001
449.2764	9107
449.535	9306
449.79364	9429
450.05225	9365
450.31085	9226
450.56949	9291
450.82809	9352
451.0867	9083
451.34531	8776
451.60391	8893
451.86252	8879
452.12112	8770
452.37973	8662
452.63834	8419
452.89691	8271
453.15552	8109
453.41412	7949
453.6727	7969
453.9313	7691
454.18988	7894
454.44846	7651
454.70706	7543
454.96564	7348
455.22421	7499
455.48279	7496
455.74136	7396
455.99994	7222
456.25851	7033
456.51709	7160
456.77567	7240
457.03424	7003
457.29279	7237
457.55136	7073
457.80991	7047
458.06848	7146
458.32703	7077
458.5856	6897
458.84415	6975
459.10269	6990
459.36124	7055
459.61978	6914
459.87833	7056
460.13687	7038
460.39542	6835
460.65396	6820
460.91251	6981
461.17102	7024
461.42957	6841
461.68811	7039
461.94662	7121
462.20514	7057
462.46368	7162
462.7222	7216
462.98071	7112
463.23923	7298
463.49777	7143
463.75629	7428
464.01477	7455
464.27328	7374
464.5318	7478
464.79031	7665
465.0488	7566
465.30731	7742
465.56583	7715
465.82431	7645
466.08279	7703
466.34131	7865
466.59979	7990
466.85828	7877
467.11676	8125
467.37524	8130
467.63373	8211
467.89221	8420
468.1507	8343
468.40918	8438
468.66763	8457
468.92612	8586
469.18457	8692
469.44305	8737
469.70151	8859
469.95999	8919
470.21844	8785
470.4769	8945
470.73535	9199
470.9938	9221
471.25226	9449
471.51071	9317
471.76917	9455
472.02759	9551
472.28604	9534
472.54449	9805
472.80292	9811
473.06137	9774
473.31979	10056
473.57822	10056
473.83664	10203
474.09506	9903
474.35352	10138
474.61191	10350
474.87033	10271
475.12875	10412
475.38718	10551
475.6456	10651
475.90399	10645
476.16241	10532
476.42081	10668
476.6792	10845
476.93762	10761
477.19601	10917
477.45441	10953
477.7128	10972
477.97119	11019
478.22958	11254
478.48798	11174
478.74637	11106
479.00473	11032
479.26312	11399
479.52148	11363
479.77988	11641
480.03824	11390
480.2966	11272
480.55496	11233
480.81335	11511
481.07172	11591
481.33005	11616
481.58841	11438
481.84677	11628
482.10513	11853
482.36346	11686
482.62183	11474
482.88016	11476
483.13852	11611
483.39685	11756
483.65518	11701
483.91351	11771
484.17184	12010
484.43018	11812
484.68851	11573
484.94684	11864
485.20517	12016
485.46347	11867
485.7218	11866
485.9801	11814
486.23843	11829
486.49673	11730
486.75504	11751
487.01334	12096
487.27164	11780
487.52994	12162
487.78824	11901
488.04654	12000
488.30484	11922
488.56311	11949
488.82141	12065
489.07968	11975
489.33798	12287
489.59625	11994
489.85452	12002
490.11279	12223
490.37106	12180
490.62933	12091
490.8876	12091
491.14587	12112
491.40411	11953
491.66238	12223
491.92065	12412
492.17889	12347
492.43713	12110
492.69537	12144
492.95364	12271
493.21188	12092
493.47012	12045
493.72833	12144
493.98657	12381
494.24481	12060
494.50305	12171
494.76126	12078
495.0195	12039
495.27771	12148
495.53592	12165
495.79413	12341
496.05234	12349
496.31055	12202
496.56876	12140
496.82697	12353
497.08517	12219
497.34335	12280
497.60156	12268
497.85974	12383
498.11795	12365
498.37613	12175
498.63431	12167
498.89249	12555
499.15067	12200
499.40884	12282
499.66702	12261
499.92517	12336
500.18335	12283
500.44153	12325
500.69968	12310
500.95782	12325
501.216	12320
501.47415	12290
501.7323	12275
501.99045	12389
502.24857	12480
502.50671	12472
502.76486	12504
503.02298	12264
503.28113	12473
503.53925	12286
503.79739	12493
504.05551	12369
504.31363	12446
504.57175	12271
