Date and Time:                Wed Apr 17 12:22:52.786 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	8541
448.24188	8627
448.50052	8730
448.75912	8922
449.01776	8945
449.2764	9094
449.535	9216
449.79364	9166
450.05225	9159
450.31085	9156
450.56949	9154
450.82809	9057
451.0867	9141
451.34531	9079
451.60391	8726
451.86252	8412
452.12112	8639
452.37973	8276
452.63834	8125
452.89691	8067
453.15552	7985
453.41412	8185
453.6727	7933
453.9313	7780
454.18988	7622
454.44846	7553
454.70706	7419
454.96564	7465
455.22421	7417
455.48279	7251
455.74136	7260
455.99994	7255
456.25851	7071
456.51709	7162
456.77567	7024
457.03424	7031
457.29279	6866
457.55136	7179
457.80991	6942
458.06848	6897
458.32703	6773
458.5856	6831
458.84415	6910
459.10269	6795
459.36124	6710
459.61978	6794
459.87833	6743
460.13687	6883
460.39542	6862
460.65396	6757
460.91251	6868
461.17102	6828
461.42957	6945
461.68811	6918
461.94662	6934
462.20514	6936
462.46368	7117
462.7222	7165
462.98071	7134
463.23923	7066
463.49777	7069
463.75629	7129
464.01477	7309
464.27328	7266
464.5318	7250
464.79031	7485
465.0488	7561
465.30731	7559
465.56583	7639
465.82431	7599
466.08279	7642
466.34131	7660
466.59979	7701
466.85828	7921
467.11676	7926
467.37524	7953
467.63373	8080
467.89221	8294
468.1507	8188
468.40918	8351
468.66763	8471
468.92612	8359
469.18457	8504
469.44305	8471
469.70151	8776
469.95999	8682
470.21844	8926
470.4769	8924
470.73535	8962
470.9938	9049
471.25226	9174
471.51071	9152
471.76917	9363
472.02759	9315
472.28604	9396
472.54449	9391
472.80292	9530
473.06137	9582
473.31979	9610
473.57822	9791
473.83664	9809
474.09506	10008
474.35352	9920
474.61191	10212
474.87033	10115
475.12875	10065
475.38718	10360
475.6456	10277
475.90399	10130
476.16241	10530
476.42081	10578
476.6792	10495
476.93762	10636
477.19601	10780
477.45441	10518
477.7128	10738
477.97119	10841
478.22958	10937
478.48798	10570
478.74637	10935
479.00473	11015
479.26312	10997
479.52148	11107
479.77988	11356
480.03824	10969
480.2966	11203
480.55496	11173
480.81335	11385
481.07172	11267
481.33005	11109
481.58841	11427
481.84677	11020
482.10513	11227
482.36346	11436
482.62183	11614
482.88016	11464
483.13852	11463
483.39685	11384
483.65518	11655
483.91351	11203
484.17184	11422
484.43018	11454
484.68851	11667
484.94684	11712
485.20517	11717
485.46347	11566
485.7218	11570
485.9801	11587
486.23843	11516
486.49673	11552
486.75504	11529
487.01334	11518
487.27164	11611
487.52994	11842
487.78824	11840
488.04654	11647
488.30484	11399
488.56311	11397
488.82141	11756
489.07968	11700
489.33798	11790
489.59625	11855
489.85452	11833
490.11279	11741
490.37106	11722
490.62933	11786
490.8876	11736
491.14587	11731
491.40411	11846
491.66238	11957
491.92065	11822
492.17889	11770
492.43713	11795
492.69537	12056
492.95364	11902
493.21188	11688
493.47012	11782
493.72833	11770
493.98657	11999
494.24481	11803
494.50305	11735
494.76126	11721
495.0195	11776
495.27771	12099
495.53592	11724
495.79413	11821
496.05234	11819
496.31055	11678
496.56876	11730
496.82697	12038
497.08517	12013
497.34335	12011
497.60156	12080
497.85974	11964
498.11795	11887
498.37613	11894
498.63431	12006
498.89249	11950
499.15067	11997
499.40884	11870
499.66702	11895
499.92517	11833
500.18335	12127
500.44153	12007
500.69968	11951
500.95782	12204
501.216	12026
501.47415	11971
501.7323	12030
501.99045	12069
502.24857	11921
502.50671	11921
502.76486	11953
503.02298	12037
503.28113	11907
503.53925	11937
503.79739	11943
504.05551	12029
504.31363	11668
504.57175	11775
