Date and Time:                Wed Apr 17 12:22:34.538 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	8510
448.24188	8563
448.50052	8741
448.75912	9012
449.01776	9191
449.2764	9132
449.535	9229
449.79364	9274
450.05225	9206
450.31085	9411
450.56949	9307
450.82809	9238
451.0867	9101
451.34531	8786
451.60391	8894
451.86252	8806
452.12112	8524
452.37973	8422
452.63834	8207
452.89691	8094
453.15552	7992
453.41412	8038
453.6727	7749
453.9313	7768
454.18988	7571
454.44846	7489
454.70706	7616
454.96564	7402
455.22421	7326
455.48279	7323
455.74136	7162
455.99994	7112
456.25851	7129
456.51709	7072
456.77567	7168
457.03424	7054
457.29279	7067
457.55136	7069
457.80991	7054
458.06848	6923
458.32703	6967
458.5856	6798
458.84415	6923
459.10269	6928
459.36124	7000
459.61978	6933
459.87833	7033
460.13687	6812
460.39542	7006
460.65396	6922
460.91251	6966
461.17102	6732
461.42957	7009
461.68811	6867
461.94662	7153
462.20514	6990
462.46368	7067
462.7222	7205
462.98071	7204
463.23923	7194
463.49777	7147
463.75629	7199
464.01477	7255
464.27328	7430
464.5318	7668
464.79031	7587
465.0488	7581
465.30731	7579
465.56583	7594
465.82431	7728
466.08279	7837
466.34131	7708
466.59979	8042
466.85828	8100
467.11676	8056
467.37524	8121
467.63373	8010
467.89221	8125
468.1507	8225
468.40918	8520
468.66763	8482
468.92612	8457
469.18457	8649
469.44305	8689
469.70151	8640
469.95999	8947
470.21844	8906
470.4769	9074
470.73535	9042
470.9938	9099
471.25226	9111
471.51071	9137
471.76917	9322
472.02759	9448
472.28604	9539
472.54449	9712
472.80292	9729
473.06137	9893
473.31979	9883
473.57822	9695
473.83664	10076
474.09506	9923
474.35352	10071
474.61191	10299
474.87033	10413
475.12875	10278
475.38718	10431
475.6456	10378
475.90399	10439
476.16241	10567
476.42081	10551
476.6792	10751
476.93762	10822
477.19601	10911
477.45441	10840
477.7128	10972
477.97119	11011
478.22958	10857
478.48798	11071
478.74637	11045
479.00473	11029
479.26312	11280
479.52148	11370
479.77988	11289
480.03824	11171
480.2966	11142
480.55496	11493
480.81335	11561
481.07172	11358
481.33005	11548
481.58841	11440
481.84677	11646
482.10513	11526
482.36346	11490
482.62183	11669
482.88016	11558
483.13852	11739
483.39685	11713
483.65518	11454
483.91351	11551
484.17184	11656
484.43018	11790
484.68851	11881
484.94684	11663
485.20517	11742
485.46347	11786
485.7218	11623
485.9801	11754
486.23843	11579
486.49673	11646
486.75504	11767
487.01334	11806
487.27164	11908
487.52994	11978
487.78824	11905
488.04654	12001
488.30484	11894
488.56311	11867
488.82141	12086
489.07968	11895
489.33798	11885
489.59625	11831
489.85452	12049
490.11279	12003
490.37106	11990
490.62933	12108
490.8876	12096
491.14587	12004
491.40411	11992
491.66238	12009
491.92065	11862
492.17889	11913
492.43713	12198
492.69537	12305
492.95364	11886
493.21188	12017
493.47012	11904
493.72833	12141
493.98657	12302
494.24481	11924
494.50305	12045
494.76126	12041
495.0195	12275
495.27771	12104
495.53592	11957
495.79413	12381
496.05234	12030
496.31055	12062
496.56876	11980
496.82697	12207
497.08517	12235
497.34335	12122
497.60156	12318
497.85974	12132
498.11795	12180
498.37613	12001
498.63431	12174
498.89249	12385
499.15067	12038
499.40884	12099
499.66702	12197
499.92517	12262
500.18335	12162
500.44153	12175
500.69968	12116
500.95782	12122
501.216	12096
501.47415	12394
501.7323	12166
501.99045	12319
502.24857	12228
502.50671	12349
502.76486	12222
503.02298	12336
503.28113	12108
503.53925	12150
503.79739	12081
504.05551	12090
504.31363	12305
504.57175	12489
