Date and Time:                Wed Apr 17 12:23:11.152 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	8613
448.24188	8761
448.50052	9001
448.75912	8709
449.01776	9042
449.2764	9213
449.535	9141
449.79364	9193
450.05225	9277
450.31085	9213
450.56949	9145
450.82809	9213
451.0867	9013
451.34531	8747
451.60391	8914
451.86252	8609
452.12112	8385
452.37973	8437
452.63834	8238
452.89691	7987
453.15552	7964
453.41412	7915
453.6727	7713
453.9313	7641
454.18988	7519
454.44846	7587
454.70706	7335
454.96564	7271
455.22421	7394
455.48279	7129
455.74136	7145
455.99994	7197
456.25851	7137
456.51709	6961
456.77567	6940
457.03424	6987
457.29279	7110
457.55136	6932
457.80991	6817
458.06848	6811
458.32703	6730
458.5856	6782
458.84415	6709
459.10269	6830
459.36124	6784
459.61978	6807
459.87833	6781
460.13687	6936
460.39542	6807
460.65396	6968
460.91251	6774
461.17102	6845
461.42957	6711
461.68811	6812
461.94662	7041
462.20514	6930
462.46368	6861
462.7222	7035
462.98071	7232
463.23923	7186
463.49777	7025
463.75629	7193
464.01477	7244
464.27328	7061
464.5318	7246
464.79031	7456
465.0488	7298
465.30731	7445
465.56583	7353
465.82431	7516
466.08279	7617
466.34131	7632
466.59979	7696
466.85828	7767
467.11676	7742
467.37524	8059
467.63373	8006
467.89221	8084
468.1507	8248
468.40918	8246
468.66763	8225
468.92612	8382
469.18457	8326
469.44305	8530
469.70151	8645
469.95999	8582
470.21844	8680
470.4769	8772
470.73535	8670
470.9938	8965
471.25226	9136
471.51071	9010
471.76917	9064
472.02759	9087
472.28604	9268
472.54449	9379
472.80292	9417
473.06137	9466
473.31979	9639
473.57822	9628
473.83664	9824
474.09506	10058
474.35352	9891
474.61191	9933
474.87033	10257
475.12875	10023
475.38718	10143
475.6456	10138
475.90399	10154
476.16241	10292
476.42081	10274
476.6792	10494
476.93762	10480
477.19601	10643
477.45441	10549
477.7128	10558
477.97119	10781
478.22958	10816
478.48798	10527
478.74637	10907
479.00473	10855
479.26312	11210
479.52148	10900
479.77988	10933
480.03824	11200
480.2966	11053
480.55496	11175
480.81335	11016
481.07172	11290
481.33005	10958
481.58841	11063
481.84677	11275
482.10513	11211
482.36346	11365
482.62183	11282
482.88016	11326
483.13852	11351
483.39685	11097
483.65518	11347
483.91351	11305
484.17184	11307
484.43018	11496
484.68851	11221
484.94684	11516
485.20517	11284
485.46347	11612
485.7218	11240
485.9801	11492
486.23843	11294
486.49673	11517
486.75504	11596
487.01334	11492
487.27164	11459
487.52994	11492
487.78824	11476
488.04654	11648
488.30484	11356
488.56311	11548
488.82141	11366
489.07968	11512
489.33798	11748
489.59625	11763
489.85452	11737
490.11279	11675
490.37106	11367
490.62933	11647
490.8876	11684
491.14587	11479
491.40411	11733
491.66238	11625
491.92065	11739
492.17889	11637
492.43713	11711
492.69537	11627
492.95364	11862
493.21188	11675
493.47012	11629
493.72833	11691
493.98657	11528
494.24481	11723
494.50305	11581
494.76126	11629
495.0195	11711
495.27771	11869
495.53592	11794
495.79413	11641
496.05234	11669
496.31055	11854
496.56876	11867
496.82697	11889
497.08517	11818
497.34335	11785
497.60156	11808
497.85974	11925
498.11795	11785
498.37613	11809
498.63431	11785
498.89249	11822
499.15067	11665
499.40884	11915
499.66702	11737
499.92517	11874
500.18335	11739
500.44153	11937
500.69968	11945
500.95782	11754
501.216	11923
501.47415	11932
501.7323	11935
501.99045	11844
502.24857	11775
502.50671	11764
502.76486	12050
503.02298	11873
503.28113	11769
503.53925	11789
503.79739	11747
504.05551	11880
504.31363	11771
504.57175	11976
