Date and Time:                Thu Apr 18 12:20:50.457 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	4566
448.24188	4768
448.50052	4898
448.75912	4682
449.01776	4834
449.2764	4881
449.535	4950
449.79364	4872
450.05225	4917
450.31085	4896
450.56949	4987
450.82809	4811
451.0867	4743
451.34531	4587
451.60391	4514
451.86252	4452
452.12112	4516
452.37973	4409
452.63834	4366
452.89691	4457
453.15552	4219
453.41412	4171
453.6727	4235
453.9313	4099
454.18988	3914
454.44846	4083
454.70706	3999
454.96564	3987
455.22421	3943
455.48279	3848
455.74136	3975
455.99994	3804
456.25851	3737
456.51709	3768
456.77567	3789
457.03424	3834
457.29279	3729
457.55136	3740
457.80991	3708
458.06848	3833
458.32703	3778
458.5856	3744
458.84415	3784
459.10269	3799
459.36124	3771
459.61978	3640
459.87833	3687
460.13687	3687
460.39542	3708
460.65396	3706
460.91251	3656
461.17102	3878
461.42957	3761
461.68811	3843
461.94662	3874
462.20514	3906
462.46368	3773
462.7222	3773
462.98071	3824
463.23923	3907
463.49777	3909
463.75629	3957
464.01477	3971
464.27328	3908
464.5318	3946
464.79031	4034
465.0488	4198
465.30731	4072
465.56583	4053
465.82431	4166
466.08279	4085
466.34131	4121
466.59979	4232
466.85828	4319
467.11676	4281
467.37524	4257
467.63373	4357
467.89221	4363
468.1507	4514
468.40918	4463
468.66763	4557
468.92612	4600
469.18457	4536
469.44305	4500
469.70151	4617
469.95999	4701
470.21844	4694
470.4769	4805
470.73535	4849
470.9938	4994
471.25226	4926
471.51071	4911
471.76917	5038
472.02759	4968
472.28604	5077
472.54449	5080
472.80292	5158
473.06137	5172
473.31979	5094
473.57822	5248
473.83664	5219
474.09506	5305
474.35352	5271
474.61191	5474
474.87033	5327
475.12875	5376
475.38718	5488
475.6456	5479
475.90399	5473
476.16241	5495
476.42081	5751
476.6792	5543
476.93762	5649
477.19601	5577
477.45441	5491
477.7128	5696
477.97119	5782
478.22958	5859
478.48798	5844
478.74637	5694
479.00473	5908
479.26312	5850
479.52148	5770
479.77988	5944
480.03824	5919
480.2966	5869
480.55496	5915
480.81335	5813
481.07172	6003
481.33005	5943
481.58841	6125
481.84677	5971
482.10513	5953
482.36346	5923
482.62183	6090
482.88016	6009
483.13852	6139
483.39685	5931
483.65518	6024
483.91351	5960
484.17184	6244
484.43018	6022
484.68851	5947
484.94684	5934
485.20517	5930
485.46347	6063
485.7218	6118
485.9801	5920
486.23843	6016
486.49673	6127
486.75504	6189
487.01334	6058
487.27164	6062
487.52994	6121
487.78824	6053
488.04654	6148
488.30484	5980
488.56311	6152
488.82141	5995
489.07968	6104
489.33798	6186
489.59625	6153
489.85452	6107
490.11279	6187
490.37106	6139
490.62933	6139
490.8876	6106
491.14587	6145
491.40411	6159
491.66238	6055
491.92065	5937
492.17889	6107
492.43713	6166
492.69537	6031
492.95364	5995
493.21188	6037
493.47012	6272
493.72833	6206
493.98657	6019
494.24481	6069
494.50305	6104
494.76126	5984
495.0195	6147
495.27771	6063
495.53592	6037
495.79413	5940
496.05234	5986
496.31055	6016
496.56876	6048
496.82697	6003
497.08517	6047
497.34335	6065
497.60156	6166
497.85974	6096
498.11795	6178
498.37613	6016
498.63431	6160
498.89249	6115
499.15067	5945
499.40884	6057
499.66702	6085
499.92517	6049
500.18335	6019
500.44153	6032
500.69968	6039
500.95782	6100
501.216	6063
501.47415	6099
501.7323	6069
501.99045	6039
502.24857	5945
502.50671	6221
502.76486	6105
503.02298	6249
503.28113	6102
503.53925	6133
503.79739	5985
504.05551	6007
504.31363	5979
504.57175	6005
