Date and Time:                Tue Apr 16 16:01:16.064 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	3874
448.24188	3837
448.50052	3809
448.75912	3972
449.01776	4019
449.2764	4052
449.535	4181
449.79364	4178
450.05225	4208
450.31085	4017
450.56949	4056
450.82809	4110
451.0867	3965
451.34531	3951
451.60391	3825
451.86252	3868
452.12112	3864
452.37973	3808
452.63834	3913
452.89691	3622
453.15552	3709
453.41412	3668
453.6727	3639
453.9313	3654
454.18988	3516
454.44846	3464
454.70706	3561
454.96564	3465
455.22421	3528
455.48279	3400
455.74136	3450
455.99994	3384
456.25851	3371
456.51709	3438
456.77567	3285
457.03424	3494
457.29279	3445
457.55136	3373
457.80991	3524
458.06848	3339
458.32703	3333
458.5856	3440
458.84415	3350
459.10269	3443
459.36124	3430
459.61978	3515
459.87833	3424
460.13687	3390
460.39542	3450
460.65396	3436
460.91251	3434
461.17102	3263
461.42957	3329
461.68811	3421
461.94662	3519
462.20514	3495
462.46368	3537
462.7222	3464
462.98071	3613
463.23923	3594
463.49777	3584
463.75629	3666
464.01477	3709
464.27328	3748
464.5318	3733
464.79031	3870
465.0488	3827
465.30731	3732
465.56583	3740
465.82431	3873
466.08279	3912
466.34131	3899
466.59979	3988
466.85828	4037
467.11676	4022
467.37524	4060
467.63373	4205
467.89221	4064
468.1507	4226
468.40918	4114
468.66763	4269
468.92612	4263
469.18457	4267
469.44305	4321
469.70151	4363
469.95999	4421
470.21844	4504
470.4769	4552
470.73535	4498
470.9938	4551
471.25226	4542
471.51071	4686
471.76917	4888
472.02759	4678
472.28604	4759
472.54449	4963
472.80292	4864
473.06137	4925
473.31979	4907
473.57822	4947
473.83664	4987
474.09506	5056
474.35352	5048
474.61191	5159
474.87033	5057
475.12875	5150
475.38718	5119
475.6456	5298
475.90399	5224
476.16241	5369
476.42081	5243
476.6792	5273
476.93762	5323
477.19601	5386
477.45441	5476
477.7128	5327
477.97119	5312
478.22958	5409
478.48798	5492
478.74637	5460
479.00473	5496
479.26312	5647
479.52148	5627
479.77988	5465
480.03824	5570
480.2966	5692
480.55496	5602
480.81335	5634
481.07172	5696
481.33005	5701
481.58841	5756
481.84677	5549
482.10513	5711
482.36346	5654
482.62183	5766
482.88016	5798
483.13852	5747
483.39685	5794
483.65518	5653
483.91351	5621
484.17184	5830
484.43018	5743
484.68851	5690
484.94684	5705
485.20517	5781
485.46347	5726
485.7218	5919
485.9801	5672
486.23843	5939
486.49673	5761
486.75504	5668
487.01334	5860
487.27164	5797
487.52994	5791
487.78824	5771
488.04654	5827
488.30484	5733
488.56311	5898
488.82141	5793
489.07968	5960
489.33798	5700
489.59625	5797
489.85452	5792
490.11279	5877
490.37106	5869
490.62933	5883
490.8876	5777
491.14587	5739
491.40411	5878
491.66238	5836
491.92065	5869
492.17889	5832
492.43713	5843
492.69537	5861
492.95364	5929
493.21188	5768
493.47012	5958
493.72833	5915
493.98657	5759
494.24481	5702
494.50305	5726
494.76126	5885
495.0195	5848
495.27771	5773
495.53592	5899
495.79413	5936
496.05234	5707
496.31055	5883
496.56876	5707
496.82697	5860
497.08517	5808
497.34335	5840
497.60156	5971
497.85974	5957
498.11795	5819
498.37613	5842
498.63431	5958
498.89249	5928
499.15067	5840
499.40884	5728
499.66702	5743
499.92517	5829
500.18335	5899
500.44153	5904
500.69968	5814
500.95782	5942
501.216	5805
501.47415	5859
501.7323	5700
501.99045	5777
502.24857	5866
502.50671	5959
502.76486	5854
503.02298	5853
503.28113	5948
503.53925	5755
503.79739	5871
504.05551	5747
504.31363	5847
504.57175	5850
