Date and Time:                Tue Apr 16 15:50:25.187 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	12780
448.24188	12649
448.50052	12931
448.75912	13142
449.01776	12973
449.2764	13032
449.535	13525
449.79364	13585
450.05225	13695
450.31085	13543
450.56949	13369
450.82809	13310
451.0867	12900
451.34531	12710
451.60391	12260
451.86252	11972
452.12112	11651
452.37973	11321
452.63834	11056
452.89691	10897
453.15552	10532
453.41412	10383
453.6727	10063
453.9313	10033
454.18988	9831
454.44846	9697
454.70706	9301
454.96564	9022
455.22421	8807
455.48279	8514
455.74136	8411
455.99994	8413
456.25851	8181
456.51709	7862
456.77567	7866
457.03424	7609
457.29279	7625
457.55136	7524
457.80991	7277
458.06848	7246
458.32703	7256
458.5856	7171
458.84415	6975
459.10269	6932
459.36124	6977
459.61978	6720
459.87833	6593
460.13687	6625
460.39542	6630
460.65396	6471
460.91251	6531
461.17102	6421
461.42957	6373
461.68811	6115
461.94662	6339
462.20514	6125
462.46368	6144
462.7222	6163
462.98071	6043
463.23923	6100
463.49777	5901
463.75629	5902
464.01477	5882
464.27328	5856
464.5318	5875
464.79031	5742
465.0488	5785
465.30731	5841
465.56583	5678
465.82431	5711
466.08279	5667
466.34131	5702
466.59979	5746
466.85828	5727
467.11676	5850
467.37524	5734
467.63373	5733
467.89221	5749
468.1507	5919
468.40918	5817
468.66763	5877
468.92612	5703
469.18457	5836
469.44305	5808
469.70151	5798
469.95999	5877
470.21844	5937
470.4769	5909
470.73535	5862
470.9938	6017
471.25226	5876
471.51071	5964
471.76917	5916
472.02759	6026
472.28604	5854
472.54449	6027
472.80292	6045
473.06137	5884
473.31979	6018
473.57822	6013
473.83664	6164
474.09506	6002
474.35352	6140
474.61191	6038
474.87033	6088
475.12875	6045
475.38718	6263
475.6456	6150
475.90399	6060
476.16241	6142
476.42081	6166
476.6792	6068
476.93762	6055
477.19601	6193
477.45441	6196
477.7128	6216
477.97119	6193
478.22958	6362
478.48798	6248
478.74637	6363
479.00473	6324
479.26312	6244
479.52148	6323
479.77988	6255
480.03824	6322
480.2966	6372
480.55496	6361
480.81335	6247
481.07172	6349
481.33005	6283
481.58841	6416
481.84677	6386
482.10513	6204
482.36346	6466
482.62183	6492
482.88016	6347
483.13852	6340
483.39685	6465
483.65518	6432
483.91351	6218
484.17184	6233
484.43018	6380
484.68851	6281
484.94684	6417
485.20517	6428
485.46347	6364
485.7218	6173
485.9801	6358
486.23843	6571
486.49673	6411
486.75504	6337
487.01334	6210
487.27164	6185
487.52994	6333
487.78824	6340
488.04654	6489
488.30484	6386
488.56311	6620
488.82141	6527
489.07968	6524
489.33798	6635
489.59625	6642
489.85452	6585
490.11279	6554
490.37106	6697
490.62933	6651
490.8876	6784
491.14587	6896
491.40411	7114
491.66238	7049
491.92065	7123
492.17889	7427
492.43713	7480
492.69537	7598
492.95364	7928
493.21188	7915
493.47012	8243
493.72833	8495
493.98657	8883
494.24481	8806
494.50305	9180
494.76126	9895
495.0195	10023
495.27771	10596
495.53592	10978
495.79413	11610
496.05234	11969
496.31055	12364
496.56876	13096
496.82697	13666
497.08517	14052
497.34335	14678
497.60156	15280
497.85974	16211
498.11795	16813
498.37613	17270
498.63431	17918
498.89249	18743
499.15067	19358
499.40884	20229
499.66702	20883
499.92517	21525
500.18335	21871
500.44153	22642
500.69968	23302
500.95782	24178
501.216	24616
501.47415	25147
501.7323	26467
501.99045	26611
502.24857	28029
502.50671	28316
502.76486	28870
503.02298	29821
503.28113	30188
503.53925	31275
503.79739	31344
504.05551	32294
504.31363	33011
504.57175	33513
