Date and Time:                Tue Apr 16 17:22:50.089 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	311
448.24188	286
448.50052	322
448.75912	286
449.01776	325
449.2764	307
449.535	278
449.79364	296
450.05225	297
450.31085	316
450.56949	300
450.82809	295
451.0867	292
451.34531	306
451.60391	280
451.86252	286
452.12112	312
452.37973	293
452.63834	283
452.89691	310
453.15552	293
453.41412	288
453.6727	290
453.9313	300
454.18988	314
454.44846	307
454.70706	298
454.96564	287
455.22421	308
455.48279	314
455.74136	294
455.99994	292
456.25851	332
456.51709	294
456.77567	325
457.03424	283
457.29279	283
457.55136	296
457.80991	303
458.06848	301
458.32703	288
458.5856	293
458.84415	318
459.10269	309
459.36124	303
459.61978	291
459.87833	288
460.13687	295
460.39542	296
460.65396	292
460.91251	292
461.17102	301
461.42957	298
461.68811	325
461.94662	304
462.20514	293
462.46368	300
462.7222	317
462.98071	309
463.23923	314
463.49777	306
463.75629	299
464.01477	287
464.27328	278
464.5318	308
464.79031	315
465.0488	287
465.30731	308
465.56583	297
465.82431	301
466.08279	293
466.34131	300
466.59979	304
466.85828	309
467.11676	302
467.37524	311
467.63373	299
467.89221	307
468.1507	279
468.40918	311
468.66763	308
468.92612	294
469.18457	293
469.44305	303
469.70151	311
469.95999	290
470.21844	303
470.4769	304
470.73535	288
470.9938	299
471.25226	287
471.51071	303
471.76917	301
472.02759	297
472.28604	285
472.54449	284
472.80292	302
473.06137	309
473.31979	326
473.57822	303
473.83664	297
474.09506	309
474.35352	316
474.61191	312
474.87033	310
475.12875	296
475.38718	280
475.6456	298
475.90399	302
476.16241	303
476.42081	281
476.6792	297
476.93762	310
477.19601	302
477.45441	302
477.7128	291
477.97119	318
478.22958	304
478.48798	292
478.74637	293
479.00473	307
479.26312	283
479.52148	302
479.77988	302
480.03824	299
480.2966	316
480.55496	299
480.81335	303
481.07172	301
481.33005	287
481.58841	297
481.84677	302
482.10513	301
482.36346	311
482.62183	292
482.88016	280
483.13852	323
483.39685	316
483.65518	309
483.91351	321
484.17184	300
484.43018	298
484.68851	291
484.94684	301
485.20517	303
485.46347	298
485.7218	293
485.9801	292
486.23843	286
486.49673	314
486.75504	290
487.01334	290
487.27164	311
487.52994	311
487.78824	283
488.04654	305
488.30484	291
488.56311	304
488.82141	292
489.07968	312
489.33798	298
489.59625	327
489.85452	301
490.11279	282
490.37106	299
490.62933	292
490.8876	328
491.14587	312
491.40411	292
491.66238	287
491.92065	299
492.17889	285
492.43713	285
492.69537	281
492.95364	301
493.21188	296
493.47012	291
493.72833	310
493.98657	300
494.24481	326
494.50305	288
494.76126	302
495.0195	295
495.27771	305
495.53592	306
495.79413	313
496.05234	286
496.31055	307
496.56876	317
496.82697	307
497.08517	309
497.34335	312
497.60156	304
497.85974	305
498.11795	325
498.37613	284
498.63431	322
498.89249	307
499.15067	305
499.40884	293
499.66702	281
499.92517	302
500.18335	296
500.44153	309
500.69968	290
500.95782	298
501.216	285
501.47415	296
501.7323	307
501.99045	298
502.24857	316
502.50671	298
502.76486	305
503.02298	292
503.28113	301
503.53925	281
503.79739	292
504.05551	294
504.31363	297
504.57175	290
504.82986	315
505.08798	288
505.34607	283
505.60419	307
505.86227	294
506.12039	299
506.37848	294
506.63657	321
506.89465	310
507.15277	308
507.41083	302
507.66891	294
507.927	321
508.18509	319
508.44315	293
508.70123	289
508.95929	302
509.21735	293
509.4754	293
509.73346	310
509.99152	287
510.24957	294
510.50763	315
510.76569	302
511.02371	305
511.28174	292
511.53979	289
511.79782	305
512.05585	275
512.3139	303
512.5719	291
