Date and Time:                Thu Apr 18 12:35:27.746 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	6658
448.24188	6576
448.50052	6662
448.75912	6642
449.01776	6756
449.2764	6732
449.535	6867
449.79364	7029
450.05225	6781
450.31085	6744
450.56949	6784
450.82809	6668
451.0867	6686
451.34531	6458
451.60391	6375
451.86252	6333
452.12112	6202
452.37973	6107
452.63834	5996
452.89691	5946
453.15552	5901
453.41412	5831
453.6727	5735
453.9313	5769
454.18988	5638
454.44846	5499
454.70706	5415
454.96564	5497
455.22421	5361
455.48279	5460
455.74136	5244
455.99994	5195
456.25851	5135
456.51709	5208
456.77567	5181
457.03424	5258
457.29279	5105
457.55136	5100
457.80991	5228
458.06848	4983
458.32703	5076
458.5856	5164
458.84415	4921
459.10269	4978
459.36124	5056
459.61978	5130
459.87833	5068
460.13687	5140
460.39542	4943
460.65396	5117
460.91251	5138
461.17102	5197
461.42957	5160
461.68811	5058
461.94662	5067
462.20514	5198
462.46368	5389
462.7222	5433
462.98071	5253
463.23923	5447
463.49777	5281
463.75629	5326
464.01477	5385
464.27328	5615
464.5318	5455
464.79031	5541
465.0488	5758
465.30731	5546
465.56583	5715
465.82431	5622
466.08279	5759
466.34131	5787
466.59979	5672
466.85828	5944
467.11676	5878
467.37524	5928
467.63373	6069
467.89221	5898
468.1507	6032
468.40918	6190
468.66763	6067
468.92612	6060
469.18457	6142
469.44305	6328
469.70151	6471
469.95999	6338
470.21844	6411
470.4769	6629
470.73535	6483
470.9938	6739
471.25226	6573
471.51071	6940
471.76917	6774
472.02759	6837
472.28604	6933
472.54449	7060
472.80292	6955
473.06137	7045
473.31979	7208
473.57822	7052
473.83664	7292
474.09506	7116
474.35352	7418
474.61191	7262
474.87033	7591
475.12875	7451
475.38718	7519
475.6456	7461
475.90399	7553
476.16241	7547
476.42081	7677
476.6792	7874
476.93762	7689
477.19601	7789
477.45441	7780
477.7128	7873
477.97119	7794
478.22958	7817
478.48798	7968
478.74637	7927
479.00473	7933
479.26312	7968
479.52148	8102
479.77988	8019
480.03824	8167
480.2966	8022
480.55496	7973
480.81335	8332
481.07172	8074
481.33005	8181
481.58841	8058
481.84677	8251
482.10513	8077
482.36346	8244
482.62183	8117
482.88016	8172
483.13852	8189
483.39685	8119
483.65518	8184
483.91351	8221
484.17184	8215
484.43018	8165
484.68851	8166
484.94684	8102
485.20517	8330
485.46347	8403
485.7218	8224
485.9801	8221
486.23843	8452
486.49673	8269
486.75504	8431
487.01334	8397
487.27164	8509
487.52994	8413
487.78824	8382
488.04654	8331
488.30484	8312
488.56311	8259
488.82141	8340
489.07968	8484
489.33798	8301
489.59625	8346
489.85452	8278
490.11279	8362
490.37106	8377
490.62933	8349
490.8876	8464
491.14587	8263
491.40411	8346
491.66238	8385
491.92065	8421
492.17889	8324
492.43713	8318
492.69537	8347
492.95364	8332
493.21188	8460
493.47012	8411
493.72833	8335
493.98657	8284
494.24481	8414
494.50305	8392
494.76126	8431
495.0195	8497
495.27771	8334
495.53592	8382
495.79413	8645
496.05234	8414
496.31055	8450
496.56876	8048
496.82697	8323
497.08517	8350
497.34335	8419
497.60156	8160
497.85974	8543
498.11795	8268
498.37613	8345
498.63431	8339
498.89249	8496
499.15067	8295
499.40884	8469
499.66702	8322
499.92517	8512
500.18335	8293
500.44153	8385
500.69968	8349
500.95782	8346
501.216	8387
501.47415	8507
501.7323	8201
501.99045	8312
502.24857	8445
502.50671	8342
502.76486	8238
503.02298	8368
503.28113	8325
503.53925	8154
503.79739	8211
504.05551	8260
504.31363	8322
504.57175	8275
