Date and Time:                Thu Apr 18 12:06:27.913 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000
550.97998	279
551.23749	290
551.49493	312
551.75244	312
552.00995	304
552.2674	292
552.5249	276
552.78235	293
553.03986	309
553.2973	311
553.55481	305
553.81226	287
554.0697	293
554.32715	292
554.58459	309
554.84204	299
555.09949	299
555.35693	280
555.61438	294
555.87177	293
556.12921	284
556.38666	305
556.64404	299
556.90149	297
557.15887	319
557.41626	308
557.67371	298
557.93109	283
558.18848	302
558.44586	290
558.70325	306
558.96063	299
559.21802	291
559.4754	300
559.73273	300
559.99011	294
560.2475	299
560.50482	291
560.76221	298
561.01953	297
561.27686	275
561.53424	303
561.79156	307
562.04889	301
562.30621	283
562.56354	302
562.82086	312
563.07819	292
563.33551	299
563.59277	318
563.8501	309
564.10742	287
564.36469	289
564.62201	285
564.87927	285
565.13654	271
565.39386	294
565.65112	310
565.90839	300
566.16565	297
566.42291	310
566.68018	308
566.93744	296
567.19464	309
567.4519	289
567.70917	285
567.96637	289
568.22363	286
568.48083	284
568.7381	294
568.9953	296
569.2525	297
569.5097	293
569.76691	307
570.02411	304
570.28131	285
570.53851	301
570.79572	267
571.05292	298
571.31006	314
571.56726	310
571.8244	323
572.0816	295
572.33875	300
572.59589	293
572.85309	286
573.11023	301
573.36737	308
573.62451	313
573.88165	289
574.13879	310
574.39587	283
574.65302	288
574.91016	300
575.16724	290
575.42438	317
575.68146	304
575.9386	307
576.19568	293
576.45276	299
576.70984	283
576.96692	277
577.224	301
577.48108	309
577.73816	271
577.99524	305
578.25232	312
578.50934	304
578.76642	291
579.02344	306
579.28052	290
579.53754	317
579.79462	304
580.05164	313
580.30865	303
580.56567	281
580.82269	297
581.07971	298
581.33673	317
581.59369	318
581.85071	292
582.10773	296
582.36469	290
582.6217	311
582.87866	291
583.13562	279
583.39264	287
583.6496	298
583.90656	307
584.16351	301
584.42047	303
584.67743	299
584.93439	283
585.19128	302
585.44824	299
585.70514	297
585.9621	301
586.21899	316
586.47595	319
586.73285	292
586.98975	311
587.24664	289
587.50354	314
587.76044	309
588.01733	283
588.27423	304
588.53113	292
588.78796	286
589.04486	302
589.3017	294
589.55859	287
589.81543	310
590.07233	328
590.32916	295
590.586	289
590.84283	301
591.09967	307
591.35651	314
591.61334	293
591.87012	312
592.12695	299
592.38373	297
592.64056	299
592.89734	277
593.15417	291
593.41095	298
593.66772	311
593.9245	265
594.18127	317
594.43805	302
594.69482	296
594.9516	295
595.20837	304
595.46509	311
595.72186	310
595.97858	311
596.23535	322
596.49207	295
596.74878	284
597.00555	293
597.26227	294
597.51898	306
597.7757	294
598.03235	300
598.28906	309
598.54578	294
598.80243	319
599.05914	308
599.3158	279
599.57251	287
599.82916	295
600.08582	283
600.34247	293
600.59918	311
600.85583	280
601.11243	319
601.36908	291
601.62573	314
601.88239	290
602.13898	304
602.39563	314
602.65222	288
602.90881	306
603.16547	296
603.42206	301
603.67865	299
603.93524	298
604.19183	305
604.44843	302
604.70496	296
604.96155	311
605.21814	295
605.47467	307
605.73126	294
605.98779	310
606.24432	285
606.50085	280
606.75739	310
607.01392	300
607.27045	310
607.52698	293
607.78351	299
608.04004	294
608.29651	301
608.55304	304
608.80951	314
609.06604	302
609.32251	284
609.57898	305
609.83545	275
610.09192	289
610.34839	296
610.60486	302
610.86133	312
611.11774	281
611.37421	314
611.63062	292
611.88708	319
612.14349	297
612.39996	286
612.65637	313
612.91278	294
613.16919	285
613.4256	291
613.68201	281
613.93835	324
614.19476	304
614.45117	275
614.70752	301
614.96387	321
615.22028	297
615.47662	314
615.73297	304
615.98932	304
616.24567	311
616.50201	309
616.75836	303
617.01471	286
617.271	279
617.52734	273
617.78363	299
618.03998	282
618.29626	317
618.55255	297
618.80884	298
619.06512	309
619.32141	314
619.5777	292
619.83398	304
620.09027	306
620.3465	278
620.60278	289
620.85901	290
621.1153	296
621.37152	285
621.62775	296
621.88397	285
622.1402	319
622.39642	299
622.65265	298
622.90887	306
623.16504	300
623.42126	304
623.67743	287
623.93365	294
624.18982	322
624.44598	317
624.70215	296
624.95831	313
625.21448	306
625.47064	304
625.72681	297
625.98291	298
626.23907	317
626.49524	300
626.75134	297
627.00745	299
627.26355	304
627.51971	300
627.77582	294
628.03192	311
628.28796	319
628.54407	305
628.80017	307
629.05627	275
629.31232	292
629.56836	283
629.82446	288
630.08051	304
630.33655	291
630.59259	301
630.84863	285
631.10468	282
631.36072	325
631.6167	318
631.87274	305
632.12878	291
632.38477	293
632.64075	292
632.89679	298
633.15277	299
633.40875	308
633.66473	317
633.92072	295
634.17664	302
634.43262	300
634.6886	285
634.94452	299
635.2005	288
635.45642	294
635.71234	309
635.96826	316
636.22418	293
636.4801	311
636.73602	302
636.99194	290
637.24786	298
637.50372	316
637.75964	306
638.0155	283
638.27136	291
638.52722	297
638.78314	284
639.039	311
639.29486	290
639.55066	295
639.80652	284
640.06238	288
640.31818	288
640.57404	314
640.82983	313
641.08563	300
641.34149	297
641.59729	288
641.85309	288
642.10889	275
642.36462	289
642.62042	281
642.87622	318
643.13196	308
643.38776	299
643.64349	297
643.89923	294
644.15497	321
644.41071	319
644.66644	292
644.92218	285
645.17792	287
645.43359	295
645.68933	292
645.94507	302
646.20074	283
646.45642	310
646.7121	290
646.96777	279
647.22345	288
647.47913	286
647.7348	282
647.99048	306
648.24609	284
648.50177	298
648.75739	298
649.01306	311
649.26868	311
649.52429	291
649.77991	317
650.03552	294
650.29114	288
650.54669	291
650.80231	310
651.05792	316
651.31348	302
651.56903	286
651.82465	282
652.0802	320
652.33575	303
652.59131	290
652.84686	297
653.10236	303
653.35791	296
653.61346	291
653.86896	297
654.12445	300
654.38	302
654.6355	292
654.89099	297
655.14648	305
655.40198	296
655.65741	285
655.9129	302
656.1684	299
656.42383	312
656.67926	300
656.93475	311
657.19019	289
657.44562	293
657.70105	280
657.95648	316
658.21191	299
658.46729	300
658.72272	299
658.97809	309
659.23352	304
659.48889	303
659.74426	276
659.99963	312
660.255	299
660.51038	310
660.76575	283
661.02106	304
661.27643	309
661.53174	290
661.78711	288
662.04242	289
662.29773	298
662.55304	306
662.80835	289
663.06366	313
663.31897	301
663.57428	293
663.82953	307
664.08484	321
664.34009	302
664.59534	310
664.85059	288
665.10583	283
665.36108	305
665.61633	294
665.87158	303
666.12677	313
666.38202	309
666.63721	298
666.89246	285
667.14764	313
