Date and Time:                Thu Apr 18 12:06:34.114 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	316
448.24188	285
448.50052	290
448.75912	324
449.01776	300
449.2764	304
449.535	308
449.79364	306
450.05225	306
450.31085	318
450.56949	292
450.82809	303
451.0867	287
451.34531	305
451.60391	297
451.86252	276
452.12112	314
452.37973	305
452.63834	306
452.89691	306
453.15552	304
453.41412	295
453.6727	290
453.9313	289
454.18988	291
454.44846	305
454.70706	300
454.96564	295
455.22421	312
455.48279	318
455.74136	312
455.99994	322
456.25851	324
456.51709	317
456.77567	302
457.03424	284
457.29279	273
457.55136	287
457.80991	294
458.06848	326
458.32703	309
458.5856	300
458.84415	305
459.10269	301
459.36124	291
459.61978	317
459.87833	314
460.13687	289
460.39542	308
460.65396	306
460.91251	303
461.17102	302
461.42957	308
461.68811	305
461.94662	293
462.20514	315
462.46368	299
462.7222	295
462.98071	298
463.23923	301
463.49777	284
463.75629	300
464.01477	290
464.27328	290
464.5318	299
464.79031	286
465.0488	295
465.30731	319
465.56583	307
465.82431	305
466.08279	282
466.34131	298
466.59979	290
466.85828	320
467.11676	301
467.37524	296
467.63373	288
467.89221	301
468.1507	281
468.40918	301
468.66763	295
468.92612	303
469.18457	318
469.44305	298
469.70151	301
469.95999	307
470.21844	309
470.4769	298
470.73535	295
470.9938	291
471.25226	313
471.51071	306
471.76917	283
472.02759	303
472.28604	299
472.54449	301
472.80292	301
473.06137	304
473.31979	295
473.57822	303
473.83664	298
474.09506	311
474.35352	311
474.61191	310
474.87033	317
475.12875	301
475.38718	285
475.6456	298
475.90399	304
476.16241	295
476.42081	300
476.6792	305
476.93762	280
477.19601	305
477.45441	306
477.7128	293
477.97119	285
478.22958	293
478.48798	288
478.74637	310
479.00473	298
479.26312	296
479.52148	309
479.77988	307
480.03824	293
480.2966	301
480.55496	322
480.81335	284
481.07172	253
481.33005	302
481.58841	287
481.84677	290
482.10513	298
482.36346	305
482.62183	306
482.88016	298
483.13852	300
483.39685	321
483.65518	305
483.91351	288
484.17184	302
484.43018	287
484.68851	304
484.94684	300
485.20517	301
485.46347	298
485.7218	301
485.9801	296
486.23843	309
486.49673	311
486.75504	298
487.01334	296
487.27164	300
487.52994	291
487.78824	315
488.04654	295
488.30484	308
488.56311	290
488.82141	289
489.07968	285
489.33798	315
489.59625	315
489.85452	296
490.11279	291
490.37106	304
490.62933	323
490.8876	299
491.14587	320
491.40411	290
491.66238	300
491.92065	313
492.17889	313
492.43713	316
492.69537	294
492.95364	283
493.21188	308
493.47012	299
493.72833	320
493.98657	301
494.24481	308
494.50305	285
494.76126	303
495.0195	297
495.27771	287
495.53592	288
495.79413	296
496.05234	296
496.31055	291
496.56876	295
496.82697	309
497.08517	303
497.34335	298
497.60156	316
497.85974	305
498.11795	321
498.37613	303
498.63431	302
498.89249	301
499.15067	299
499.40884	305
499.66702	315
499.92517	309
500.18335	298
500.44153	285
500.69968	308
500.95782	291
501.216	313
501.47415	306
501.7323	307
501.99045	294
502.24857	304
502.50671	296
502.76486	298
503.02298	288
503.28113	288
503.53925	294
503.79739	307
504.05551	290
504.31363	302
504.57175	301
504.82986	299
505.08798	282
505.34607	299
505.60419	289
505.86227	304
506.12039	301
506.37848	314
506.63657	311
506.89465	301
507.15277	288
507.41083	307
507.66891	300
507.927	289
508.18509	313
508.44315	282
508.70123	291
508.95929	303
509.21735	282
509.4754	301
509.73346	301
509.99152	293
510.24957	292
510.50763	284
510.76569	291
511.02371	293
511.28174	276
511.53979	297
511.79782	314
512.05585	305
512.3139	310
512.5719	306
